ID,Cidade,Estado,Sigla,IBGE,Latitude,Longitude
1073,CAPITÃO ANDRADE,MINAS GERAIS,MG,3112653,-19.067500,-41.859722
1074,CAPITÃO DE CAMPOS,PIAUÍ,PI,2202406,-8.336905,-43.848930
1075,CAPITÃO ENÉAS,MINAS GERAIS,MG,3112703,-16.323602,-43.715458
1076,CAPITÃO GERVÁSIO OLIVEIRA,PIAUÍ,PI,2202455,-8.496548,-41.813973
1077,CAPITÃO LEÔNIDAS MARQUES,PARANÁ,PR,4104600,-25.481645,-53.611238
1078,CAPITÃO POÇO,PARÁ,PA,1502301,-1.744716,-47.063849
1079,CAPITÓLIO,MINAS GERAIS,MG,3112802,-20.614244,-46.048765
1080,CAPIVARI,SÃO PAULO,SP,3510401,-22.995144,-47.507150
1081,CAPIVARI DE BAIXO,SANTA CATARINA,SC,4203956,-28.449773,-48.963144
1082,CAPIVARI DO SUL,RIO GRANDE DO SUL,RS,4304671,-30.146788,-50.555660
1083,CAPIXABA,ACRE,AC,1200179,-10.574134,-67.675972
1084,CAPOEIRAS,PERNAMBUCO,PE,2603801,-8.738679,-36.626811
1085,CAPUTIRA,MINAS GERAIS,MG,3112901,-20.171945,-42.270278
1086,CARAÁ,RIO GRANDE DO SUL,RS,4304713,-29.790070,-50.430231
1087,CARACARAÍ,RORAIMA,RR,1400209,1.827598,-61.125389
1088,CARACOL,PIAUÍ,PI,2202505,-9.279333,-43.328998
1089,CARACOL,MATO GROSSO DO SUL,MS,5002803,-22.016995,-57.029835
1090,CARAGUATATUBA,SÃO PAULO,SP,3510500,-23.620280,-45.413060
1091,CARAÍ,MINAS GERAIS,MG,3113008,-17.187904,-41.697289
1092,CARAÍBAS,BAHIA,BA,2906899,-14.724960,-41.256616
1093,CARAMBEÍ,PARANÁ,PR,4104659,-24.951330,-50.117129
1094,CARANAÍBA,MINAS GERAIS,MG,3113107,-20.873691,-43.737946
1095,CARANDAÍ,MINAS GERAIS,MG,3113206,-20.952222,-43.805000
1096,CARANGOLA,MINAS GERAIS,MG,3113305,-20.733056,-42.029445
1097,CARAPEBUS,RIO DE JANEIRO,RJ,3300936,-22.186997,-41.663376
1098,CARAPICUÍBA,SÃO PAULO,SP,3510609,-23.523467,-46.840681
1099,CARATINGA,MINAS GERAIS,MG,3113404,-19.790058,-42.140656
1100,CARAUARI,AMAZONAS,AM,1301001,-4.876643,-66.896143
1101,CARAÚBAS,RIO GRANDE DO NORTE,RN,2402303,-5.788932,-37.554875
1102,CARAÚBAS,PARAÍBA,PB,2504074,-7.727323,-36.492336
1103,CARAÚBAS DO PIAUÍ,PIAUÍ,PI,2202539,-3.475249,-41.842517
1104,CARAVELAS,BAHIA,BA,2906907,-17.729651,-39.266008
1105,CARAZINHO,RIO GRANDE DO SUL,RS,4304705,-28.298163,-52.794236
1106,CARBONITA,MINAS GERAIS,MG,3113503,-17.530867,-43.013621
1107,CARDEAL DA SILVA,BAHIA,BA,2907004,-11.942815,-37.949446
1108,CARDOSO,SÃO PAULO,SP,3510708,-20.080447,-49.913977
1109,CARDOSO MOREIRA,RIO DE JANEIRO,RJ,3301157,-21.489492,-41.615278
1110,CAREAÇU,MINAS GERAIS,MG,3113602,-22.044058,-45.694909
1111,CAREIRO,AMAZONAS,AM,1301100,-3.818528,-60.361650
1112,CAREIRO DA VÁRZEA,AMAZONAS,AM,1301159,-3.314000,-59.555735
1113,CARIACICA,ESPÍRITO SANTO,ES,3201308,-20.263202,-40.416549
1114,CARIDADE,CEARÁ,CE,2303006,-4.231649,-39.194651
1115,CARIDADE DO PIAUÍ,PIAUÍ,PI,2202554,-7.731913,-40.988243
1116,CARINHANHA,BAHIA,BA,2907103,-14.298524,-43.772349
1117,CARIRA,SERGIPE,SE,2801405,-10.358303,-37.701473
1118,CARIRÉ,CEARÁ,CE,2303105,-3.948584,-40.476028
1119,CARIRI DO TOCANTINS,TOCANTINS,TO,1703867,-11.888273,-49.160422
1120,CARIRIAÇU,CEARÁ,CE,2303204,-7.042616,-39.283810
1121,CARIÚS,CEARÁ,CE,2303303,-6.534869,-39.496666
1122,CARLINDA,MATO GROSSO,MT,5102793,-9.969067,-55.820019
1123,CARLÓPOLIS,PARANÁ,PR,4104709,-23.422476,-49.719401
1124,CARLOS BARBOSA,RIO GRANDE DO SUL,RS,4304804,-29.298087,-51.500444
1125,CARLOS CHAGAS,MINAS GERAIS,MG,3113701,-21.744351,-43.390867
1126,CARLOS GOMES,RIO GRANDE DO SUL,RS,4304853,-27.703009,-51.934855
1127,CARMÉSIA,MINAS GERAIS,MG,3113800,-19.085453,-43.139200
1128,CARMO,RIO DE JANEIRO,RJ,3301207,-21.934175,-42.609174
1129,CARMO DA CACHOEIRA,MINAS GERAIS,MG,3113909,-21.460556,-45.223334
1130,CARMO DA MATA,MINAS GERAIS,MG,3114006,-20.558334,-44.870377
1131,CARMO DE MINAS,MINAS GERAIS,MG,3114105,-22.121665,-45.132384
1132,CARMO DO CAJURU,MINAS GERAIS,MG,3114204,-20.195304,-44.698876
1133,CARMO DO PARANAÍBA,MINAS GERAIS,MG,3114303,-18.999233,-46.306916
1134,CARMO DO RIO CLARO,MINAS GERAIS,MG,3114402,-20.972223,-46.118611
1135,CARMO DO RIO VERDE,GOIÁS,GO,5205000,-15.354914,-49.707975
1136,CARMOLÂNDIA,TOCANTINS,TO,1703883,-7.033804,-48.395129
1137,CARMÓPOLIS,SERGIPE,SE,2801504,-10.648350,-36.984930
1138,CARMÓPOLIS DE MINAS,MINAS GERAIS,MG,3114501,-20.541293,-44.635063
1139,CARNAÍBA,PERNAMBUCO,PE,2603900,-7.805964,-37.794731
1140,CARNAÚBA DOS DANTAS,RIO GRANDE DO NORTE,RN,2402402,-6.552812,-36.554576
1141,CARNAUBAIS,RIO GRANDE DO NORTE,RN,2402501,-5.339291,-36.833679
1142,CARNAUBAL,CEARÁ,CE,2303402,-4.161133,-40.941469
1143,CARNAUBEIRA DA PENHA,PERNAMBUCO,PE,2603926,-8.426862,-38.716421
1144,CARNEIRINHO,MINAS GERAIS,MG,3114550,-19.697500,-50.688055
1145,CARNEIROS,ALAGOAS,AL,2701803,-9.483295,-37.375712
1146,CAROEBE,RORAIMA,RR,1400233,0.881232,-59.693227
1147,CAROLINA,MARANHÃO,MA,2102804,-7.331344,-47.473876
1148,CARPINA,PERNAMBUCO,PE,2604007,-7.845915,-35.253886
1149,CARRANCAS,MINAS GERAIS,MG,3114600,-21.491046,-44.643615
1150,CARRAPATEIRA,PARAÍBA,PB,2504108,-7.039522,-38.343228
1151,CARRASCO BONITO,TOCANTINS,TO,1703891,-5.320573,-48.037667
1152,CARUARU,PERNAMBUCO,PE,2604106,-8.282970,-35.972285
1153,CARUTAPERA,MARANHÃO,MA,2102903,-1.201664,-46.020562
1154,CARVALHÓPOLIS,MINAS GERAIS,MG,3114709,-21.778056,-45.840833
1155,CARVALHOS,MINAS GERAIS,MG,3114808,-22.001667,-44.461667
1156,CASA BRANCA,SÃO PAULO,SP,3510807,-21.751500,-47.111500
1157,CASA GRANDE,MINAS GERAIS,MG,3114907,-20.793757,-43.928693
1158,CASA NOVA,BAHIA,BA,2907202,-9.173677,-40.973447
1159,CASCA,RIO GRANDE DO SUL,RS,4304903,-28.563405,-51.974190
1160,CASCALHO RICO,MINAS GERAIS,MG,3115003,-18.579344,-47.875774
1161,CASCAVEL,CEARÁ,CE,2303501,-4.129666,-38.241178
1162,CASCAVEL,PARANÁ,PR,4104808,-24.955500,-53.456054
1163,CASEARA,TOCANTINS,TO,1703909,-9.273159,-49.957684
1164,CASEIROS,RIO GRANDE DO SUL,RS,4304952,-28.272115,-51.687354
1165,CASIMIRO DE ABREU,RIO DE JANEIRO,RJ,3301306,-22.480993,-42.203998
1166,CASINHAS,PERNAMBUCO,PE,2604155,-7.744698,-35.725092
1167,CASSERENGUE,PARAÍBA,PB,2504157,-6.779538,-35.817875
1168,CÁSSIA,MINAS GERAIS,MG,3115102,-20.579652,-46.926279
1169,CÁSSIA DOS COQUEIROS,SÃO PAULO,SP,3510906,-21.266360,-47.145251
1170,CASSILÂNDIA,MATO GROSSO DO SUL,MS,5002902,-19.113573,-51.734901
1171,CASTANHAL,PARÁ,PA,1502400,-1.292703,-47.922390
1172,CASTANHEIRA,MATO GROSSO,MT,5102850,-11.139195,-58.608855
1173,CASTANHEIRAS,RONDÔNIA,RO,1100908,-11.427721,-61.948680
1174,CASTELÂNDIA,GOIÁS,GO,5205059,-18.089062,-50.220798
1175,CASTELO,ESPÍRITO SANTO,ES,3201407,-20.603448,-41.203350
1176,CASTELO DO PIAUÍ,PIAUÍ,PI,2202604,-5.320265,-41.552097
1177,CASTILHO,SÃO PAULO,SP,3511003,-20.869564,-51.487779
1178,CASTRO,PARANÁ,PR,4104907,-24.794072,-49.997291
1179,CASTRO ALVES,BAHIA,BA,2907301,-12.761694,-39.428109
1180,CATAGUASES,MINAS GERAIS,MG,3115300,-21.387426,-42.695722
1181,CATALÃO,GOIÁS,GO,5205109,-18.170255,-47.944708
1182,CATANDUVA,SÃO PAULO,SP,3511102,-21.133103,-48.971282
1183,CATANDUVAS,PARANÁ,PR,4105003,-25.204353,-53.154826
1184,CATANDUVAS,SANTA CATARINA,SC,4204004,-27.068972,-51.660158
1185,CATARINA,CEARÁ,CE,2303600,-6.134158,-39.879532
1186,CATAS ALTAS,MINAS GERAIS,MG,3115359,-20.074400,-43.407500
1187,CATAS ALTAS DA NORUEGA,MINAS GERAIS,MG,3115409,-20.690277,-43.497500
1188,CATENDE,PERNAMBUCO,PE,2604205,-8.690059,-35.748471
1189,CATIGUÁ,SÃO PAULO,SP,3511201,-21.049148,-49.057892
1190,CATINGUEIRA,PARAÍBA,PB,2504207,-7.120081,-37.606380
1191,CATOLÂNDIA,BAHIA,BA,2907400,-12.315088,-44.861643
1192,CATOLÉ DO ROCHA,PARAÍBA,PB,2504306,-6.340625,-37.746967
1193,CATU,BAHIA,BA,2907509,-12.351274,-38.379108
1194,CATUÍPE,RIO GRANDE DO SUL,RS,4305009,-28.255356,-54.013215
1195,CATUJI,MINAS GERAIS,MG,3115458,-17.303056,-41.516667
1196,CATUNDA,CEARÁ,CE,2303659,-4.649422,-40.200260
1197,CATURAÍ,GOIÁS,GO,5205208,-16.447356,-49.491915
1198,CATURAMA,BAHIA,BA,2907558,-13.330930,-42.292762
1199,CATURITÉ,PARAÍBA,PB,2504355,-7.419965,-36.020713
1200,CATUTI,MINAS GERAIS,MG,3115474,-15.359700,-42.962800
1201,CAUCAIA,CEARÁ,CE,2303709,-3.730056,-38.659308
1202,CAVALCANTE,GOIÁS,GO,5205307,-13.792841,-47.456852
1203,CAXAMBU,MINAS GERAIS,MG,3115508,-20.072174,-44.475726
1204,CAXAMBU DO SUL,SANTA CATARINA,SC,4204103,-27.161505,-52.879667
1205,CAXIAS,MARANHÃO,MA,2103000,-4.865420,-43.353664
1206,CAXIAS DO SUL,RIO GRANDE DO SUL,RS,4305108,-29.168480,-51.179386
1207,CAXINGÓ,PIAUÍ,PI,2202653,-3.420920,-41.892706
1208,CEARÁ-MIRIM,RIO GRANDE DO NORTE,RN,2402600,-5.643158,-35.424662
1209,CEDRAL,MARANHÃO,MA,2103109,-2.000269,-44.528114
1210,CEDRAL,SÃO PAULO,SP,3511300,-20.902843,-49.269966
1211,CEDRO,CEARÁ,CE,2303808,-6.606538,-39.059949
1212,CEDRO,PERNAMBUCO,PE,2604304,-7.727610,-39.201361
1213,CEDRO DE SÃO JOÃO,SERGIPE,SE,2801603,-10.250678,-36.881607
1214,CEDRO DO ABAETÉ,MINAS GERAIS,MG,3115607,-19.148333,-45.711389
1215,CELSO RAMOS,SANTA CATARINA,SC,4204152,-27.633580,-51.336811
1216,CENTENÁRIO,TOCANTINS,TO,1704105,-8.958657,-47.334660
1217,CENTENÁRIO,RIO GRANDE DO SUL,RS,4305116,-27.763138,-51.989228
1218,CENTENÁRIO DO SUL,PARANÁ,PR,4105102,-22.821497,-51.595146
1219,CENTRAL,BAHIA,BA,2907608,-11.135459,-42.111277
1220,CENTRAL DE MINAS,MINAS GERAIS,MG,3115706,-18.761288,-41.307120
1221,CENTRAL DO MARANHÃO,MARANHÃO,MA,2103125,-2.196725,-44.829076
1222,CENTRALINA,MINAS GERAIS,MG,3115805,-18.584335,-49.195474
1223,CENTRO DO GUILHERME,MARANHÃO,MA,2103158,-2.451175,-46.039127
1224,CENTRO NOVO DO MARANHÃO,MARANHÃO,MA,2103174,-2.136103,-46.124853
1225,CEREJEIRAS,RONDÔNIA,RO,1100056,-13.186987,-60.816836
1226,CERES,GOIÁS,GO,5205406,-15.310357,-49.603205
1227,CERQUEIRA CÉSAR,SÃO PAULO,SP,3511409,-23.081000,-49.154990
1228,CERQUILHO,SÃO PAULO,SP,3511508,-23.162656,-47.743388
1229,CERRITO,RIO GRANDE DO SUL,RS,4305124,-31.838877,-52.765109
1230,CERRO AZUL,PARANÁ,PR,4105201,-26.089062,-52.869103
1231,CERRO BRANCO,RIO GRANDE DO SUL,RS,4305132,-29.626258,-53.000053
1232,CERRO CORÁ,RIO GRANDE DO NORTE,RN,2402709,-5.973608,-36.310595
1233,CERRO GRANDE,RIO GRANDE DO SUL,RS,4305157,-30.645100,-51.775913
1234,CERRO GRANDE DO SUL,RIO GRANDE DO SUL,RS,4305173,-30.578496,-51.776610
1235,CERRO LARGO,RIO GRANDE DO SUL,RS,4305207,-28.147611,-54.738513
1236,CERRO NEGRO,SANTA CATARINA,SC,4204178,-27.477919,-49.575715
1237,CESÁRIO LANGE,SÃO PAULO,SP,3511607,-23.220340,-47.941597
1238,CÉU AZUL,PARANÁ,PR,4105300,-25.148497,-53.849421
1239,CEZARINA,GOIÁS,GO,5205455,-16.971829,-49.775814
1240,CHÃ DE ALEGRIA,PERNAMBUCO,PE,2604403,-8.007000,-35.225536
1241,CHÃ GRANDE,PERNAMBUCO,PE,2604502,-8.238546,-35.476811
1242,CHÃ PRETA,ALAGOAS,AL,2701902,-9.255586,-36.274815
1243,CHÁCARA,MINAS GERAIS,MG,3115904,-21.672757,-43.220685
1244,CHALÉ,MINAS GERAIS,MG,3116001,-20.041975,-41.691456
1245,CHAPADA,RIO GRANDE DO SUL,RS,4305306,-28.058783,-53.065746
1246,CHAPADA DA NATIVIDADE,TOCANTINS,TO,1705102,-11.611924,-47.753852
1247,CHAPADA DE AREIA,TOCANTINS,TO,1704600,-10.140946,-49.178368
1248,CHAPADA DO NORTE,MINAS GERAIS,MG,3116100,-17.087827,-42.537691
1249,CHAPADA DOS GUIMARÃES,MATO GROSSO,MT,5103007,-15.464343,-55.749857
1250,CHAPADA GAÚCHA,MINAS GERAIS,MG,3116159,-15.294625,-45.628490
1251,CHAPADÃO DO CÉU,GOIÁS,GO,5205471,-18.395197,-52.667078
1252,CHAPADÃO DO LAGEADO,SANTA CATARINA,SC,4204194,-27.590507,-49.553879
1253,CHAPADÃO DO SUL,MATO GROSSO DO SUL,MS,5002951,-18.794905,-52.619951
1254,CHAPADINHA,MARANHÃO,MA,2103208,-3.741680,-43.354801
1255,CHAPECÓ,SANTA CATARINA,SC,4204202,-27.101180,-52.618899
1256,CHARQUEADA,SÃO PAULO,SP,3511706,-22.509580,-47.775468
1257,CHARQUEADAS,RIO GRANDE DO SUL,RS,4305355,-29.955012,-51.624919
1258,CHARRUA,RIO GRANDE DO SUL,RS,4305371,-27.953692,-52.032133
1259,CHAVAL,CEARÁ,CE,2303907,-3.033987,-41.243845
1260,CHAVANTES,SÃO PAULO,SP,3557204,-23.040640,-49.707170
1261,CHAVES,PARÁ,PA,1502509,-0.143358,-49.653462
1262,CHIADOR,MINAS GERAIS,MG,3116209,-22.002778,-43.057222
1263,CHIAPETTA,RIO GRANDE DO SUL,RS,4305405,-27.923162,-53.941905
1264,CHOPINZINHO,PARANÁ,PR,4105409,-25.856617,-52.529411
1265,CHORÓ,CEARÁ,CE,2303931,-4.843540,-39.139286
1266,CHOROZINHO,CEARÁ,CE,2303956,-4.301089,-38.497692
1267,CHORROCHÓ,BAHIA,BA,2907707,-8.977406,-39.099313
1268,CHUÍ,RIO GRANDE DO SUL,RS,4305439,-33.689524,-53.454704
1269,CHUPINGUAIA,RONDÔNIA,RO,1100924,-12.552892,-60.902782
1270,CHUVISCA,RIO GRANDE DO SUL,RS,4305447,-30.755798,-51.978493
1271,CIANORTE,PARANÁ,PR,4105508,-23.659859,-52.605444
1272,CÍCERO DANTAS,BAHIA,BA,2907806,-10.593226,-38.383441
1273,CIDADE GAÚCHA,PARANÁ,PR,4105607,-23.381656,-52.944410
1274,CIDADE OCIDENTAL,GOIÁS,GO,5205497,-16.100076,-47.944501
1275,CIDELÂNDIA,MARANHÃO,MA,2103257,-5.174655,-47.783353
1276,CIDREIRA,RIO GRANDE DO SUL,RS,4305454,-30.165706,-50.218331
1277,CIPÓ,BAHIA,BA,2907905,-11.099053,-38.515301
1278,CIPOTÂNEA,MINAS GERAIS,MG,3116308,-20.905278,-43.365556
1279,CIRÍACO,RIO GRANDE DO SUL,RS,4305504,-28.342914,-51.876368
1280,CLARAVAL,MINAS GERAIS,MG,3116407,-20.398889,-47.283056
1281,CLARO DOS POÇÕES,MINAS GERAIS,MG,3116506,-17.075823,-44.211736
1282,CLÁUDIA,MATO GROSSO,MT,5103056,-11.505720,-54.876317
1283,CLÁUDIO,MINAS GERAIS,MG,3116605,-20.440385,-44.768129
1284,CLEMENTINA,SÃO PAULO,SP,3511904,-21.591500,-50.477663
1285,CLEVELÂNDIA,PARANÁ,PR,4105706,-26.404065,-52.351397
1286,COARACI,BAHIA,BA,2908002,-14.640798,-39.549676
1287,COARI,AMAZONAS,AM,1301209,-4.088596,-63.143117
1288,COCAL,PIAUÍ,PI,2202703,-3.468829,-41.556055
1289,COCAL DE TELHA,PIAUÍ,PI,2202711,-4.554589,-41.971036
1290,COCAL DO SUL,SANTA CATARINA,SC,4204251,-28.600735,-49.324870
1291,COCAL DOS ALVES,PIAUÍ,PI,2202729,-3.599469,-41.444494
1292,COCALINHO,MATO GROSSO,MT,5103106,-14.390339,-51.000150
1293,COCALZINHO DE GOIÁS,GOIÁS,GO,5205513,-15.776285,-48.773043
1294,COCOS,BAHIA,BA,2908101,-14.181122,-44.538212
1295,CODAJÁS,AMAZONAS,AM,1301308,-3.841320,-62.060344
1296,CODÓ,MARANHÃO,MA,2103307,-4.455623,-43.892354
1297,COELHO NETO,MARANHÃO,MA,2103406,-4.253515,-43.014932
1298,COIMBRA,MINAS GERAIS,MG,3116704,-20.856325,-42.802694
1299,COITÉ DO NÓIA,ALAGOAS,AL,2702009,-9.632156,-36.577470
1300,COIVARAS,PIAUÍ,PI,2202737,-5.093213,-42.205088
1301,COLARES,PARÁ,PA,1502608,-0.936423,-48.280254
1302,COLATINA,ESPÍRITO SANTO,ES,3201506,-19.547860,-40.626370
1303,COLÍDER,MATO GROSSO,MT,5103205,-10.809500,-55.454039
1304,COLINA,SÃO PAULO,SP,3512001,-20.733000,-48.599889
1305,COLINAS,MARANHÃO,MA,2103505,-6.033263,-44.252854
1306,COLINAS,RIO GRANDE DO SUL,RS,4305587,-29.386602,-51.869791
1307,COLINAS DO SUL,GOIÁS,GO,5205521,-14.155593,-48.072996
1308,COLINAS DO TOCANTINS,TOCANTINS,TO,1705508,-8.061269,-48.471677
1309,COLMÉIA,TOCANTINS,TO,1716703,-8.732212,-48.752943
1310,COLNIZA,MATO GROSSO,MT,5103254,-9.456064,-59.219713
1311,COLÔMBIA,SÃO PAULO,SP,3512100,-20.177429,-48.687282
1312,COLOMBO,PARANÁ,PR,4105805,-25.292544,-49.224347
1313,COLÔNIA DO GURGUÉIA,PIAUÍ,PI,2202752,-8.183697,-43.793999
1314,COLÔNIA DO PIAUÍ,PIAUÍ,PI,2202778,-7.232027,-42.177712
1315,COLÔNIA LEOPOLDINA,ALAGOAS,AL,2702108,-8.940000,-35.756788
1316,COLORADO,PARANÁ,PR,4105904,-22.837422,-51.974301
1317,COLORADO,RIO GRANDE DO SUL,RS,4305603,-28.513150,-52.993908
1318,COLORADO DO OESTE,RONDÔNIA,RO,1100064,-13.117431,-60.545428
1319,COLUNA,MINAS GERAIS,MG,3116803,-18.232627,-42.840081
1320,COMBINADO,TOCANTINS,TO,1705557,-12.813658,-46.546104
1321,COMENDADOR GOMES,MINAS GERAIS,MG,3116902,-19.699172,-49.081406
1322,COMENDADOR LEVY GASPARIAN,RIO DE JANEIRO,RJ,3300951,-22.028685,-43.204655
1323,COMERCINHO,MINAS GERAIS,MG,3117009,-16.296509,-41.793095
1324,COMODORO,MATO GROSSO,MT,5103304,-13.658111,-59.786883
1325,CONCEIÇÃO,PARAÍBA,PB,2504405,-7.556506,-38.505371
1326,CONCEIÇÃO DA APARECIDA,MINAS GERAIS,MG,3117108,-21.094166,-46.204444
1327,CONCEIÇÃO DA BARRA,ESPÍRITO SANTO,ES,3201605,-18.584142,-39.737184
1328,CONCEIÇÃO DA BARRA DE MINAS,MINAS GERAIS,MG,3115201,-21.128889,-44.472223
1329,CONCEIÇÃO DA FEIRA,BAHIA,BA,2908200,-12.501300,-39.000217
1330,CONCEIÇÃO DAS ALAGOAS,MINAS GERAIS,MG,3117306,-19.919401,-48.380341
1331,CONCEIÇÃO DAS PEDRAS,MINAS GERAIS,MG,3117207,-22.160000,-45.454167
1332,CONCEIÇÃO DE IPANEMA,MINAS GERAIS,MG,3117405,-19.928334,-41.693889
1333,CONCEIÇÃO DE MACABU,RIO DE JANEIRO,RJ,3301405,-22.084999,-41.867995
1334,CONCEIÇÃO DO ALMEIDA,BAHIA,BA,2908309,-12.777276,-39.169221
1335,CONCEIÇÃO DO ARAGUAIA,PARÁ,PA,1502707,-8.269690,-49.267686
1336,CONCEIÇÃO DO CANINDÉ,PIAUÍ,PI,2202802,-7.877402,-41.596142
1337,CONCEIÇÃO DO CASTELO,ESPÍRITO SANTO,ES,3201704,-20.360131,-41.247034
1338,CONCEIÇÃO DO COITÉ,BAHIA,BA,2908408,-11.562938,-39.283954
1339,CONCEIÇÃO DO JACUÍPE,BAHIA,BA,2908507,-12.326831,-38.768433
1340,CONCEIÇÃO DO LAGO-AÇU,MARANHÃO,MA,2103554,-3.841006,-44.893056
1341,CONCEIÇÃO DO MATO DENTRO,MINAS GERAIS,MG,3117504,-19.037222,-43.425278
1342,CONCEIÇÃO DO PARÁ,MINAS GERAIS,MG,3117603,-19.752222,-44.896944
1343,CONCEIÇÃO DO RIO VERDE,MINAS GERAIS,MG,3117702,-21.881078,-45.086853
1344,CONCEIÇÃO DO TOCANTINS,TOCANTINS,TO,1705607,-12.220874,-47.295103
1345,CONCEIÇÃO DOS OUROS,MINAS GERAIS,MG,3117801,-22.413056,-45.797777
1346,CONCHAL,SÃO PAULO,SP,3512209,-22.337512,-47.172927
1347,CONCHAS,SÃO PAULO,SP,3512308,-23.019236,-48.010968
1348,CONCÓRDIA,SANTA CATARINA,SC,4204301,-27.231410,-52.022980
1349,CONCÓRDIA DO PARÁ,PARÁ,PA,1502756,-1.881102,-47.975787
1350,CONDADO,PARAÍBA,PB,2504504,-6.909210,-37.596637
1351,CONDADO,PERNAMBUCO,PE,2604601,-7.602747,-35.102233
1352,CONDE,PARAÍBA,PB,2504603,-7.300750,-34.858879
1353,CONDE,BAHIA,BA,2908606,-11.812976,-37.613870
1354,CONDEÚBA,BAHIA,BA,2908705,-14.902227,-41.971829
1355,CONDOR,RIO GRANDE DO SUL,RS,4305702,-28.156522,-53.484629
1356,CÔNEGO MARINHO,MINAS GERAIS,MG,3117836,-14.989000,-44.619682
1357,CONFINS,MINAS GERAIS,MG,3117876,-19.627875,-43.991231
1358,CONFRESA,MATO GROSSO,MT,5103353,-10.643695,-51.569873
1359,CONGO,PARAÍBA,PB,2504702,-7.809634,-36.641233
1360,CONGONHAL,MINAS GERAIS,MG,3117900,-22.153250,-46.040470
1361,CONGONHAS,MINAS GERAIS,MG,3118007,-20.501517,-43.856459
1362,CONGONHAS DO NORTE,MINAS GERAIS,MG,3118106,-18.807033,-43.673232
1363,CONGONHINHAS,PARANÁ,PR,4106001,-23.549724,-50.552018
1364,CONQUISTA,MINAS GERAIS,MG,3118205,-22.146951,-44.582190
1365,CONQUISTA D'OESTE,MATO GROSSO,MT,5103361,-14.538117,-59.544377
1366,CONSELHEIRO LAFAIETE,MINAS GERAIS,MG,3118304,-20.659611,-43.785743
1367,CONSELHEIRO MAIRINCK,PARANÁ,PR,4106100,-23.622998,-50.170678
1368,CONSELHEIRO PENA,MINAS GERAIS,MG,3118403,-19.172088,-41.471995
1369,CONSOLAÇÃO,MINAS GERAIS,MG,3118502,-22.551389,-45.921111
1370,CONSTANTINA,RIO GRANDE DO SUL,RS,4305801,-27.733171,-52.992956
1371,CONTAGEM,MINAS GERAIS,MG,3118601,-19.913275,-44.084095
1372,CONTENDA,PARANÁ,PR,4106209,-25.678811,-49.535044
1373,CONTENDAS DO SINCORÁ,BAHIA,BA,2908804,-13.761228,-41.042131
1374,COQUEIRAL,MINAS GERAIS,MG,3118700,-21.185022,-45.439031
1375,COQUEIRO BAIXO,RIO GRANDE DO SUL,RS,4305835,-29.159507,-52.109700
1376,COQUEIRO SECO,ALAGOAS,AL,2702207,-9.637500,-35.797427
1377,COQUEIROS DO SUL,RIO GRANDE DO SUL,RS,4305850,-28.110423,-52.754262
1378,CORAÇÃO DE JESUS,MINAS GERAIS,MG,3118809,-19.945874,-43.951229
1379,CORAÇÃO DE MARIA,BAHIA,BA,2908903,-12.248434,-38.749927
1380,CORBÉLIA,PARANÁ,PR,4106308,-24.795112,-53.296180
1381,CORDEIRO,RIO DE JANEIRO,RJ,3301504,-22.028768,-42.360744
1382,CORDEIRÓPOLIS,SÃO PAULO,SP,3512407,-22.476832,-47.455055
1383,CORDEIROS,BAHIA,BA,2909000,-15.039722,-41.931423
1384,CORDILHEIRA ALTA,SANTA CATARINA,SC,4204350,-26.985395,-52.603549
1385,CORDISBURGO,MINAS GERAIS,MG,3118908,-19.125834,-44.320278
1386,CORDISLÂNDIA,MINAS GERAIS,MG,3119005,-21.792843,-45.702998
1387,COREAÚ,CEARÁ,CE,2304004,-3.552151,-40.654686
1388,COREMAS,PARAÍBA,PB,2504801,-7.016103,-37.946564
1389,CORGUINHO,MATO GROSSO DO SUL,MS,5003108,-19.827429,-54.832224
1390,CORIBE,BAHIA,BA,2909109,-13.828471,-44.457270
1391,CORINTO,MINAS GERAIS,MG,3119104,-18.363056,-44.456111
1392,CORNÉLIO PROCÓPIO,PARANÁ,PR,4106407,-23.182522,-50.649926
1393,COROACI,MINAS GERAIS,MG,3119203,-18.619437,-42.283024
1394,COROADOS,SÃO PAULO,SP,3512506,-21.355463,-50.285359
1395,COROATÁ,MARANHÃO,MA,2103604,-4.128228,-44.136027
1396,COROMANDEL,MINAS GERAIS,MG,3119302,-18.473889,-47.200278
1397,CORONEL BARROS,RIO GRANDE DO SUL,RS,4305871,-28.402286,-54.043976
1398,CORONEL BICACO,RIO GRANDE DO SUL,RS,4305900,-27.737051,-53.664653
1399,CORONEL DOMINGOS SOARES,PARANÁ,PR,4106456,-26.172000,-51.910139
1400,CORONEL EZEQUIEL,RIO GRANDE DO NORTE,RN,2402808,-6.359709,-36.206119
1401,CORONEL FABRICIANO,MINAS GERAIS,MG,3119401,-19.520007,-42.628269
1402,CORONEL FREITAS,SANTA CATARINA,SC,4204400,-26.905893,-52.702805
1403,CORONEL JOÃO PESSOA,RIO GRANDE DO NORTE,RN,2402907,-6.260710,-38.442491
1404,CORONEL JOÃO SÁ,BAHIA,BA,2909208,-10.285639,-37.925943
1405,CORONEL JOSÉ DIAS,PIAUÍ,PI,2202851,-8.825672,-42.478386
