tweets,sentimento
Afinal eu tambem tenho um dia :)) https://t.co/3bVLn7XHhT,Positivo
EU TO MAIS QUE BEM COM VOCÊ AQUI!! — ASSIM EU ME APAIXONO :) https://t.co/qAisVai4u3,Positivo
"Galerinha da madrugada, seis q vcs tão ai me manda mimo pfff :) https://t.co/BpAIhdaXo0",Positivo
fiz café agora à noite e perdi totalmente o sono :),Positivo
@luiza_torello Gatuna é legal :),Positivo
@Gold_Armys @KajimaShop @aishkstore @TheShopOfArmy @HallyuDesign @Eoq_Bangtan @LocksOfBangtan @CrazyOfBangtan_ @DiarioDoTaeTae_ @runfrombts @BeyondTheWings_ @dangerarmy6 @FWB_1801 @aubangtansz @ygpoems @BangtanAny @SorriaArmy @seoltangucci @thetrouxarmy_ @MariSchiavocruz @GabsDaArmyzade @ARMYpan_ @armyseguearmy @armyunicornia @HOBICABELOPRETO ME DESCULPEM POR MARCAR VOCÊS (ALGUNS DE NOVO NÉ) EU NÃO TENHO AMIGOS :) PARTICIPEM TBM VAI,Positivo
@littlebirdstore Quem sabe eu não mude de celular só pelas capinhas dos meus bebês Estarei no aguardo :),Positivo
"@graficosdePS1 eu tô apaixonado pela arte de white ferrari, consegue me mandar? jozucjozuc@gmail.com parabéns pelo trabalho, ficaram ótimos :)))",Positivo
@GuiBaldi @guilhermeafonso @leoradiofobia @Andreizilla @CaioCorraini alguem poderia me explicar essa parada das empilhadeiras sem eu precisar entrar no faceboks pra isso? :)),Positivo
"eu fico imaginando como deve ser quando alguma dessas pessoas que trabalham oferecendo o cartão da loja se depara com alguem que realmente quer o cartão, tipo ''oi, é com vc q eu falo pra fazer cartão da loja?'' ''é sim :) ...perai ..... TU QUER FAZER O CARTAO? TU TA ZOANDO NÉ?''",Positivo
até q fim uma chuva p colaborar :),Positivo
"odeio pegar as manias de alguém q eu falo diariamente pq dps se eu paro de falar com a pessoa, continuo com as mania dela e fico assim :))))",Positivo
"@sanduichinho HSHAH, blz. que graciosa cantando. :p",Positivo
boa noite :)),Positivo
@mendesyoon @BTS_twt E me seguir! :),Positivo
E tem desgraçados por aí que acham lindo relacionamento abusivo ou ficar brincando com os sentimentos dos outros q ótimo :),Positivo
"contra fatos, não há argumentos :D",Positivo
não vou falar mais nada :)))))),Positivo
"@TomCruise Tenho diploma de Modelo também, fiz curso na adolescência... :)",Positivo
"@nalicetuita O Prattes tem 21 :) Acho q depende mto, homem com 28 não tem uma mentalidade de mais do 20 não kkk",Positivo
eh so eu ouvir modern talking que melhora tudo :P,Positivo
@kmontteiro2 aaaaff só vamos :D,Positivo
@GabyzitaB de nada bb :),Positivo
"@CelloSouzaA @TheBlackMasses @ManuelaDavila @LulaOficial @Haddad_Fernando Entendi, ela é tipo um Vasco da Gama :)",Positivo
ola terceiro estagio :D https://t.co/T2JfIJMXEb,Positivo
@palavi_ não foi nada :D,Positivo
o @vitxr666 tem demência? sim ou com certeza? :),Positivo
@Nicks_rainha Descobri q tomei no cu lindamente com esse trabalho :),Positivo
"@amandassini Não era de você, flor... ligue os pontos :P",Positivo
"Qual o seu videogame favorito? 🕹 — sla, nunca joguei nenhum :) https://t.co/qAu8d9G8CA",Positivo
"Amanhã tenho que ir na Univali bem cedo e se Deus quiser (ele quer) amanhã vou acordar sem dor nenhuma, vou conseguir andar de boassa e a Ana Lua vai ficar bem calminha aqui na barriga enquanto a mamãe faz as coisas dela :)",Positivo
Fui dormir chateada e acordei igual :),Positivo
Máquina de levar roupa está aí pra isso :) https://t.co/KfXzJiTrCD,Positivo
@mah_que aaah vamos! eu tô te devendo bolo também hahaha :P,Positivo
@Ianisart vc merece fada :),Positivo
"Eu sou um anjo, meus amores :)",Positivo
@followfabio Continue assim :),Positivo
@deborista Parabéns :) Mtos pickles na cama pra vc 😂,Positivo
Eu tenho q continuar me fechando pq assim não há possibilidade de eu pegar mais trauma ainda :),Positivo
"eu literalmente absolutamente desisto de ter qualquer tipo de relacionamento na minha vida amorosa, porquê ou a pessoa caga com tudo (porém eu sou A OTARIA que perdoa) ou eu cago tudo (que sou a que se fode :) ) pois é",Positivo
"@catiacarvalhosp Perdição vc, muita linda :)",Positivo
"Obrigada Nadia, estou aqui traduzindo a peça de teatro que você pediu :)",Positivo
@olifrenoslida Muito! Mas bem legal tb! :),Positivo
O Inimigo Tem Força Mais Só Jesus Tem Poder .. ! :D ☝,Positivo
agr vou tentar dormir pra ver se não acordo tão acabado como o de costume :),Positivo
@xiumsnow não precisa agradecer bebe to aqui pra isso :)),Positivo
@_poliangel_ Eu respondi :),Positivo
Se rEfeRInDo A sI Msm (meme do homer) :p https://t.co/8VD5iwYsvf,Positivo
@fwckingfools de nada meu bem! se precisar conversar estou ao seu dispor :),Positivo
"@isaoalves Fala sim, a gente toma um café :)",Positivo
@biasiarom vou parar nao... tudo eh melhor nessa vida quando compartilhado ainda q dure menos :),Positivo
"@gabriellemrqs Que nada, irmãos em Cristo servem pra isso. :)",Positivo
@tiffyoungstan mas aí tu ia saber como eu tô pq eu posto :),Positivo
"@jessmileski Se quiser desabafar, pode me chamar na dm. ♥ :) '",Positivo
LIVE Rocket League - Campeonato: Dificuldade idolo :P !!: https://t.co/YEv1rNGXNw via @YouTube,Positivo
@renatadiem Tomara q ele saiba fazer conta de multiplicação :P,Positivo
@gabipuhale @icrinvel @felipmoraess Maneiro :) lilgabs,Positivo
"@saarasouuza @marcellip Sara, você é linda :)",Positivo
"já q sou obrigada a ser mesária, to vendo pelo lado bom.. vou ganhar 40 horas extracurriculares p faculdade E só trabalho no 1° turno :)",Positivo
nem sei com quem me identifico mais :) https://t.co/Rkfa5bMNmF,Positivo
Mas eu nem jogo de Winston :P,Positivo
"nove meses sem esse sorriso :): 💔 miss u, gus https://t.co/66obw6J8jK",Positivo
@horanflickersm Feito :),Positivo
Sábanas: listas. Cobija: lista. Pijama: lista. A dormir :) https://t.co/D6NyakRKhL,Positivo
"sempre durmo com o pé p fora, ele não gosta de mim :) https://t.co/0aHhXBTwA8",Positivo
@ana1brodrigues Chamei :),Positivo
"@acpecanha @anterogreco Ignorar é a melhor coisa mesmo. Eu que nao sou famoso, volta e meia recebo umas respostas que dao ate vontade de segurar o queixo. Tipo o amigao ao vivo tentando segurar o riso. :)",Positivo
"Mano eu sou q nem ele, quando eu to com meus amigos e fico conversando e dando risada com eles ele n fica putinho com cara de cu pq eu nn to dando atenção? Quando ele nn me da atenção no whats eu tbm fico puta mas sem a cara de cu só com tédio e sem vontade de conversar mesmo :)",Positivo
gente n da virei fa do fiuk agora vcs vao te q guenta :p,Positivo
@Ietszeppelin entendi. obrigada por responder :),Positivo
hj eu vo ir dormir mtttt feliz :))),Positivo
"Que lindo, Salomão ensina a invocar esses demônios no primeiro capítulo do grifinorio dele e um desses 72 se chama nada mais e nada menos que Valak, sim a do filme do invocação do mal :)",Positivo
@pimpimentalol :D é nois pimpjhonson &lt;3,Positivo
Caí de skate por causa de um cão EU AMO A MINHA VIDA :),Positivo
"@leolocatelli Obrigado, próxima vez saberei me portar :)",Positivo
@dufernandaa fica o dia todo falando q me ama :p,Positivo
"@psandrelli AH NÃO, “CÃES” É MUITO MELHOR, NÃO VIAJA!! Hahahahaha é tipo assim que reagem, né?! Acredita que não vi “À Prova”? Bem lembrado, cara, vou reparar esse erro! :)",Positivo
@myngisz @Karollymanda @whyparkjeon @BTS_twt Obrigada :D,Positivo
@icejasminn obg anjo :),Positivo
"@rrick93 Hahahahahahahahaha, isso é bom Quando falo de The Office aqui no twitter eu sei que você é a única pessoa do círculo que eu sei que ama de verdade e sabe do que tô falando :P",Positivo
"@Beckyamora só em mim , ops :)",Positivo
@BlackVitti Já dei o meu like e ja ser escrevi no canal. sucesso pra você :) @BlackVitti,Positivo
@1800_teenidle esse aí : ) https://t.co/9itusdmzAL,Positivo
@louise7525 me da o chinelo por favor :D https://t.co/g1rWQOPpZt,Positivo
@trvisXX $JaciLipe #ASTROWORLD :):):),Positivo
"Pessoas normais dormem, nós não fazemos nada :) https://t.co/nynPZRBL6v",Positivo
amanhã e quinta vou trabalhar pra caralhoooo :):,Positivo
"adeus A7 dourado, vc durou 9 meses :D",Positivo
"@gstvmont Preciso me fazer não, eu sou :)",Positivo
@Ataylandia vc paga o meu e eu como o seu :) tauana aq,Positivo
@IsabelaWalker7 Chá bem quente com mel e limão :),Positivo
"@caarvalhokarol @valadao_clara18 já chegava na sala cheia!!! ""boa tarde Selma"" "":) boa tarde pra você só se for""",Positivo
"Mandei mensagem, não respondeu, NUNCA MAIS EU MANDO MENSAGEM! :)",Positivo
"A graça de ser um programador home Office é que não existe Web Namoro pra mim, graças a Deus tenho condições de ir pra qualquer parte do Brasil e até pra fora então web Namoro pra mim só existe se a outra pessoa realmente n quiser me ver :)",Positivo
@juniorscantor Eleitores do Bolsonaro :),Positivo
"meu clipe novo, deixa um like no video pra me ajudar, muito obrigado mesmo 💜 rap https://t.co/PGpF1NXB5Z — :) https://t.co/dLAoyn4Ffi",Positivo
"@TomCruise Outros estilos eu gosto também como TANGO, LAMBADA, MACARENA e por aí vai, mas não levo muito jeito não....agora dançar músicas de discoteca, a gente dá um jeito.... :D",Positivo
"@mell1092 @leoradiofobia @GuiBaldi @guilhermeafonso @johnveejones @radiofobialhes @XadrezVerbal Guizão é o cara mais razoável daqui, acho que tá mais pro teu lado. Eu admito que dei uma mudada de opinião frente a novos fatos. :P",Positivo
Acho que vou dormir mais descansado :),Positivo
Estou com vocês. :) https://t.co/hLi9hP3uos,Positivo
a dormir :),Positivo
esse vídeo definitivamente salvou meu dia :) https://t.co/lvDqJ6gKsE,Positivo
"@heyisinha Já tem ""muito"" tempo! :)",Positivo
"@klauslol1_ @ItstheMaths Fixa um tweet pedindo desculpas pelo pensamento merda, daí mostra que teve arrependimento mesmo e orgulho de admitir que estava errado :D.",Positivo
"mês que vem irei conhecer minha melhor amiga, tô ansiosa :)",Positivo
@aliciamteixeira espero mesmo que sim! eu ligooo :),Positivo
"eu jogando sbts e, do nada, eu organizei todo o plot na minha cabeça. gosto assim mesmo :)))",Positivo
"@Vivispbblyr Ah, obrigada Vou manter isso em mente qdo tentar falar com ele, depois te conto como foi :)",Positivo
"Por isso abandonei o whats e só falo qnd falam comigo. Isso qnd eu vejo q é importante. Do contrário, eu deixo falando e que se foda :) Desculpem ❤️",Positivo
minha garganta ta toda fodida e mesmo assim vou tomar chá gelado :) isso é eu fazendo insistindo em algo que eu sei que no final não vai dar certo,Positivo
foo :) : a14e5235-1e97-451a-ba79-b49ec1680035,Positivo
@HLXSEULGI SA AE :)),Positivo
essa merda de remédio vai me matar :),Positivo
@douglaskiller ainda bem pq eu amo :D,Positivo
Volviiiii :),Positivo
@santzsfc Melhoras :),Positivo
Rolezito com nova moto no GTA Oppressor Mk II com motor de foguete :D Caxias Auer ♥ Helen Bilavio — jogando GTA V online,Positivo
"""A vida é curta e o mundo é vasto."" Anne with an E :)",Positivo
"é, tô aqui parado boiandinho, esperando que algum milagre aconteça :))",Positivo
eu amo esse garoto cr :),Positivo
"@migraineslow Feliz aniversário anjo :), quantos anos?",Positivo
pra me distrair mais um pouco... :))) https://t.co/oWEVxWOvAC,Positivo
"NAMJOOOOOOOOOON!!!!! SEU ÂNUS QUE EU DEVERIA TER SAIDO DO TRABALHO ANTES, MANO É O MEU TRABALHO???????????? tá tô bem :) https://t.co/IFfmMbGV5c",Positivo
"Eu tava no terminal estressada após um dia horrebel e o bus não chegava e um moço disse ""olha, reparei q vc tá meio agoniada, o ônibus passa daq 2min"", aí eu chorei (de emoção) pq ele foi gentil cmg :) https://t.co/VJUHpCUYpz",Positivo
vai tomar no cu :-),Positivo
@carol_lussani Já sabe por onde começar :),Positivo
"@vhopestuff Q bom, flor, foi bem tbm hihi :-)",Positivo
@marebrigante Nema veze Jutro :)),Positivo
"@ingridmilili Espero que sim, de verdade! :)",Positivo
@gameelXD Tbm sinto de vc e todos outros amigos que fiz na comunidade :),Positivo
"Descobri agora que o Youtube só conta 3 a 5 visualizações por dia ao ver o mesmo vídeo. Portanto streamers, não precisavamos de dar loop no epiphany all day :)",Positivo
@thomasfbs Poc é meu ovo! :D,Positivo
"""amas é que eu sofri e eu tenho a mente conturbada e faço coisas sem querer que te magoam"" ô mano arranja outra desculpa pra ser um pau no cu, irmão. Tu tem ciência de que ta fazendo merda, ao invés de tentar mascarar se vitimizando, PARE DE FAZER MERDA Veja só que simples :D",Positivo
"@geocaio_ Acho que entra o fato do afeto entre homens ser reprimido por machismo e homofobia Entre amigos, é ""estranho"" ter afeto Não acho que dá pra comparar entre homens num geral e entre você e seus futuros filhos Só de querer ter uma relação boa quando for pai, você vai ser ótimo :)",Positivo
"@DeboraFuzeti Caixão. Se não tem como resolver, já está resolvido :)",Positivo
Queria está perto dela agr só pra ver o sorrisão que vai sair já já dela :)),Positivo
@FabioGuere Por isso eu só cumprimento com aperto de mãos 🤝 Além de ser elegante :),Positivo
"@hpoyatos Hum, interessante. Me manda uma msg no telegram/WhatsApp pra eu ver melhor como é esse caminho :-)",Positivo
@LihBertoldi Sdd de vc :),Positivo
"@kadu_nogueira Então antes de dormir, tente assistir algo que relaxe..ou algo interessante pra aliviar a mente, etc. Pode ter bom resultado. :D",Positivo
parte de mim ama e a outra parte so quer faltar todo dia :),Positivo
@_Ariiki_ e fui eu que puxei a conversa!! :D ultrapassei a barreira da timidez,Positivo
"@Peupps tem sim, @Peupps! vem q tá bem divertido :D",Positivo
@finnsmaia silver :),Positivo
"@Nenhasz eu fiquei tanto tempo sem ver nada deles, do nada olhei e eles já tão dois velhinho lindo :)) ♡ e a melissa??? saudades delaa",Positivo
"Ois, bom dia. Cortou o cabelo ? Tá tão lindo — Oie, boa noite!!! Cortei não rs obrigada :) https://t.co/aOBeNM70ch",Positivo
"[ sobre mim ] ↴ 1. 26.08.2006 2. gosto de hel e nana 3. um castanho escuro um pouco puxado pro ruivo 4. meus olhos tem cor de mel :) 5. não, mas penso em fazer algum dia 6. penso em fazer um na orelha 7. não, mas preciso 8. já usei",Positivo
eu quero que me chamem de triz agora :),Positivo
@HeirOfTheCape Calma Jamezinho :),Positivo
@aperteoalt Bom saber :),Positivo
quem se fode sou sempre eu :),Positivo
"@itsgojira @Barvisque Faz todo sentido né! Eu tava querendo algo mais realista mesmo, imaginei que fosse ficar mais caro :)) Eu vou tentar não torrar mta coisa esse mês, sobrando uma grana eu falo ctg :D",Positivo
@glopdallospazio Presente! :-),Positivo
@salvadr12 E a companhia também :),Positivo
@fabysazul @MGWV_Sara @mihanenws @minlede @Violet_Isak @miarianmoreno @Guiller26628445 @Lennon2511 @oscarmerimo1 @Mina_suso @luisalarosa @helenmblanco @DarioOberg A correr !! :) adormir zzZZ,Positivo
Os meus pintores favoritos são Jackson Pollock e Van Gogh :))),Positivo
@paranoicomesmo Hahahaha no caso posso secar suas lágrimas :),Positivo
PESTE :p https://t.co/yerJ8hBmjv,Positivo
"@creepymebaby Não é incrível, mas distrai bem. :) Tomata que goste.",Positivo
"@Miguelito_1906 hahahaha chegou no estilo boleiro BR bueiro :) Pelos vídeos, Youtube Futebol Clube ... ele atua igual Dudu e Keno. Mas jogou pouco, quero ver atuar no Brasil. Ele é pelo menos 10x melhor que o Zizao, então tem chance.",Positivo
"@Min_bts07 @StoreGoGo dnd anjo, espero que você ganhe :)",Positivo
@Liciadesu Sou eclética ahaha :D,Positivo
@Anapsaraiva_ ah esse lanches eu n quero parar :),Positivo
Gosto de dormir ouvindo djavan :),Positivo
"@bolharegal Programa Miniempresa é um projeto da Junior Achievement que ajuda jovens a desenvolver práticas, empreendedoras, sociais e sustentáveis :) Todo ano há diversos projetos e ideias bem legais, se quiser conferir @juniorachievementrn e @nexarn ( no insta ) &lt;3",Positivo
@pabllovittar aumenta essa música aí! hahaha :),Positivo
"@dissonpontes @startupdareal Eu assistiria esse filme. Er, não, melhor não :D",Positivo
"Meu relacionamento com o Caio é nós iludindo um ao outro, mas continuamos amigos :)",Positivo
@UchihaCreative @_IsaCim Tu vai dar a volta por cima :)) fe em deus,Positivo
"Hey, estou acordada porque temos pulgas no quarto :)",Positivo
@_cels Calma que sábado já ta chegando :))),Positivo
"@iwolfstan arr insta eu n tenho, mas a dm tá aí se quiser :)",Positivo
@___nexo Exato ela vai passar a gostar mais de mim do q de ti :))),Positivo
@httpsoulmates Oi eu te amo :),Positivo
@RoseBarros__ @jorge18041958 eu e mais 2.889 pessoas :) https://t.co/FymoVOrv2c,Positivo
@niaurell Precis :),Positivo
@luizanicolau2 Borá ver!!!!! :),Positivo
"@bolharegal Se quiser saber mais, faço parte do Nexa RN que é uma extensão para quem termina o programa Miniempresa; O Nexa é um núcleo de empreendedorismo onde sempre ocorre eventos, inclusive, alguns pessoas externas podem participar :)",Positivo
@fedevigevani Algo lindo :D,Positivo
@fedevigevani Algo lindo ♥️:),Positivo
"@ViniciusFeIix @nandachiconato @licallegari tô mais com você, Fernanda :)",Positivo
"@edu_dc Fiz isso também! Vi o primeiro e o de 2011, muito fofooos! :D",Positivo
@Bibliothek2018 Você está absolutamente certo! Mandei mal... Corrigi no texto já. Obrigado pelo toque! :-),Positivo
@fedevigevani Algo lindo :),Positivo
Geeeennnte tive uma ideia TÃO legal pra minha próxima fic que eu só não choro pq tive MUITA ideia para Growing Up. Agora só preciso de tempo e disposição para escrever :),Positivo
@happiengie cansei de tudo sla tô casanda é isto :),Positivo
@fedevigevani ALGO LINDO :),Positivo
síntesis pasando do i wanna know? :);),Positivo
dia dos solteiros uhul :),Positivo
@drjuniorsan @bruninpires @ProEnemOficial Eu fiquei no ranking dos 10 primeiros do simulado de medicina. No primeiro simulado. :D,Positivo
@Naka_r6 vlw irmão :),Positivo
"Amanhã o meu dia será corrido, mas darei um jeito de ver o teaser na hora que ele sair! hehe :)",Positivo
agr que to solteira vou esperar o septo cicatrizar (1 mês) e depois colocarei finalmente meu piercing na língua :) aí uso de desculpa pra n comer tbm,Positivo
Podem gozar mas sinto-me super bem quando durmo com ele xd :)) https://t.co/DRXyfLV0qY,Positivo
@_geeksyndrome Muito mesmo e irei :D,Positivo
@Quarto7 Até eu tô angustiado já com essa treta do Fumaça :P,Positivo
@fedevigevani Algo lindo :p,Positivo
@DieGoh_mendes Não espero menos de você :),Positivo
"Que bom que foi produtivo, você feliz me deixa feliz também :) — isso é muito bonitinho e gentil, obrigada mesmo! https://t.co/y3tLnyNvDx",Positivo
"Na chamada da play : ""Vem jogar, não é assustador!"" ""Não vou, só jogou isso de dia,e que saiba falta umas 2 horas para isso"" ""Mas olha eu ja estou a ver sol, olha!"" ""Eu tou a ver o sol na sua cara! Nao vou jogar! Vá se fuder "" ""Lolita"" melhor pessoa :)",Positivo
"Se você ver algo bom em alguém, DIGA! Ela pode estar precisando e você nem sabe. Faça o outro feliz também, pq faz um bem danado para ambos :) BOA NOITE",Positivo
Obrigado pra quem deu RT :),Positivo
tenho q ir dormir pois a ufrj me espera amanha :p,Positivo
Hora de dormir :) https://t.co/glPRrOXlXj,Positivo
uma hanna bem feliz por ter visto a continuação do seu musical favorito e com waterloo na cabeça :) https://t.co/i4HMZxI95c,Positivo
"eiei ce é linda dms, nunca se esqueça disso ok ? ce merece o universo inteirinho, fica bem bb :) — aaawnn ❤ obrigada por isso bb!! ce não faz ideia do quanto isso me fez bem! ❤🌹 eu acredito tmb qu... https://t.co/RROV1jUpHZ",Positivo
@Lukszer0 @camilotaxp Ai seria melhor :D,Positivo
"@danialmeida182 Sim, foi uma edição minha. Sinto a mesma coisa quando ouço, até hoje. É muito curioso esse efeito :)",Positivo
"@phollanda @ViniciusFeIix @nandachiconato @licallegari Um método ""A Day in The Life"" de fazer música :)",Positivo
@trvisXX $raquel2k #ASTROWORLD :))),Positivo
"@823WG AI. @/&amp;;$:)/%%%% eu te amo demais, garoto, pelo amor de Jesus Cristo. NÃO DÁ.",Positivo
Vamos troca uma idéia bb :) https://t.co/moSM2XwVZG,Positivo
talvez tenha sido um erro mas n me arrependo :),Positivo
https://t.co/j73AsIHd8O Vem gozar comigo. :),Positivo
"oi olha seu chat do Twitter PORFAVOR, obrigada. :)",Positivo
Feliz pois tenho episódios inéditos da série que eu gosto pra assistir :),Positivo
eu VENERO as crianças de hoje em dia. tao amáveis e ensinam tantas coisas pra gente que cresce e acaba ficando mais burro :-),Positivo
Você é vingativa? — depende da situação. :) https://t.co/57HADnNEHx,Positivo
"@sanduichinho ahsiah, eu ja transcendi e nem emoji uso mais. boa noite aí, descanso, guerreira. ahsia. :p",Positivo
@CaptainHopper Tem uma anta enchendo o saco porque não conseguiu interpretar o que eu disse. Dei block :),Positivo
Calma Que dia 7 tá aí Tá mais longe do que perto 7 de dezembro :),Positivo
Descreva-se com 5 palavras. — sou um monte de lixo :p https://t.co/Wjxqs2mOPK,Positivo
"@AmePigs @Gbsantos89 e eu troquei, esse agr eh fetinhos o jpeg ta no outro :p",Positivo
@fedevigevani Algo lindo :)),Positivo
"Fora a dor, tô animada, acho que hoje o dia vai ser bom :)",Positivo
@giganterichard Oi? Live às 3Hr? kkkkkkkkkk! :D,Positivo
@zitosilva e @RiqueSampaio deixa eu usar minha formação como prof de matemática. geometria euclidiana é a geometria “de colégio” que é aplicada num plano. Geometria não-euclidiana trabalha com outras fontes como base. Ex: os trajetos de naves espaciais é feito sobre elipsoide :D,Positivo
@analo01 Nada :P,Positivo
Vou tomar no meu cu pra acordar amanhã. :),Positivo
Boa noite :),Positivo
"amanhã finalmente vou para montargillll, me esperem :)))",Positivo
@sratoz Foi. Mas ela falava da taça de vinho que ela jogou no Serra. :-) Mas ficou bem engraçado.:-),Positivo
amanhã é feriado :) tenho que limpar a casa e estudar horrores =(,Positivo
"muito fofo! hoje um menino do meu prédio me ligou falando que o porteiro disse que eu tenho uma cadelinha e precisava encontrar um petshop. ele me explicou onde ficava, passou o numero e ainda se ofereceu pra levar a Gló cmg :))))",Positivo
vou dormir tipo 3 horas :)))),Positivo
@Anacardosocc EU SOU O BRANCO :),Positivo
"@yeontazn Caso o grupo seja criado, lembrem de mim :) https://t.co/UxEEVo6qxv",Positivo
Canal que representa bem nossas idéias e pensamentos de direita :) https://t.co/xU5SJjEJh9,Positivo
o insta xanarchy tava respondendo um monte de fãs da dm :) que amorr 💔,Positivo
@thainabalbo @gaab1costa_ to aqui pro que ela precisar :),Positivo
@filipeduarte88 Mídia manipuladora.... Acabando com os princípios da família e rebaixando um dos poucos políticos que não se vendeu. Não adianta espernear.... Relaxa que dói menos! Vai dar #bolsonaro no 1o turno :) quanto mais tentam manchar a imagem de uma pessoa honesta mais afundam :),Positivo
@bigbanxg De nada :),Positivo
@maagalhaesu e nem comprou pra mim :),Positivo
@malupombal01 N queremos q se repita aquilo pois nao? :),Positivo
"roteiro de geografia? posso te mandar as respostas, quer? porém não tenho teu wpp — Querooo, me chama na dm q te dou meu whatssss :)) https://t.co/TXX2TuoBij",Positivo
@MrciaMiranda17 já incorporando ao léxico :),Positivo
"@igrejjjas Nem posso, menstruada :/ :) (feliz e triste ao mesmo tempo)",Positivo
felicidade vindo dps de mtt tempo... :D,Positivo
Boa noiteeeee !! :) #jpgadelha #boanoite #premiojovem #digitalinfluencer #modelo #recife #mexico #brasil #follow #topfitness https://t.co/ewsVpVc0Dz,Positivo
fiz muitos amigos no rpg todos eles sao bem legais e gentis to feliz :D,Positivo
"mande memes pra pessoa que você gosta, e assim ele vai encaminha p pessoa que ele gosta :)",Positivo
"O ranço não bateu não, espancou Esperei tanto por esse dia :)",Positivo
"@bakici8 @shinetae_ Ahaha poderia citar tantos hinos do bts até o amanhecer. Realmente há muitas músicas maravilhosas que são esquecidas mas baepsae nunca irei esquecer, até porque, quem precisa nascer com uma colher de ouro sendo que já tenho a 'preciosidade' chamada bts? Será que me entende... :)",Positivo
"21) (vou até o fim, lamento :P) Na verdade, nem sei se devia entrar na contagem: tenho velhos cadernos a lápis e de...va...gar... estou digitando eles pro texto não perder.",Positivo
E acabei de trombar com uma versão adolescente de Klara muito fútil - e não imagino a versão atual dela crescendo desse jeito. É legal ver o quanto uma personagem minha mudou com o passar do (muito) tempo :P,Positivo
@khordofon concordo plenamente :(((( e só de imaginar como a chidori-chan vai ficar.... num quero ver mas quero ver ugh ARGH https://t.co/3twZCuDIJA,Negativo
Hoje tem a @MariliaMReal aqui na minha city. Que tristeza nao poder ir. :(,Negativo
"shinee tem vergonha de ter ""fã"" igual a você — :( https://t.co/J0IjpOUkeU",Negativo
@hey_mika horrívi :(((( vo até sair pra beber hoje porque TÁ FODA,Negativo
@Directionerzin_ @LegendsOfDms A Me escolhe :(,Negativo
@CaioSaraiva14 Falhei :(,Negativo
@Directionerzin_ @LegendsOfDms B Me escolhe :(,Negativo
Qual doença sua cachorrinha tem ? — Leshmaniose :( https://t.co/kAAS549Br4,Negativo
"@alanzoka vou parecer uma mãe preocupada, mas se cuide alanzinho, tente não pegar friagem e tome chá :( 💞",Negativo
@cupxecake AIBB OII :(,Negativo
"Sexta feira é o pior dia mano, duas aulas de matemática, duas de português e uma de história :(",Negativo
@Directionerzin_ @LegendsOfDms C Me escolhe :(,Negativo
@Santtynovich vem me visitar :(,Negativo
@Directionerzin_ @LegendsOfDms D Me escolhe :(,Negativo
@cvosss @whosakirab sempre q faço looks em azul fico gd palhacita :(,Negativo
"@lovatocolld descanse em paz, ferdinando :( vai deixar saudades",Negativo
@Ieomxssi a gnt já vai perder o guerrero :(,Negativo
@alanzoka toma remédio nenê :( deita e descansa ok? te amo 💗,Negativo
@mareramoss__ mariana...... respeita meu momento por favor :( to sentido,Negativo
@louistdress que chato bicho :((( conversa com ela com calma,Negativo
@Directionerzin_ @LegendsOfDms G Me escolhe :(,Negativo
Os enfermeiros só falam em comida e eu aqui cheia de fome sem nada no estômago :(((((,Negativo
@Directionerzin_ @LegendsOfDms H Me escolhe :(,Negativo
@btwiamaprincess Que fail não é a mesmaaa :(,Negativo
@aconesa_ @dja_campos O meu não é o Go :( é esse aqui ó https://t.co/Gbr0beqMeW,Negativo
TUUUUUDO minhas vidinhas :(((( https://t.co/hUEd77PPy8,Negativo
@Lehontas @molegria @andreh77 não abre aqui o site :(,Negativo
saudades :( https://t.co/aSW9mHzKkM,Negativo
"hoje eu tive que ouvir de uma menina de 7 anos que se ela vai correndo pra escola vai emagrecer rápido, é tão triste saber que a sociedade mexe com a cabeça de uma criança desde tão cedo :((",Negativo
e fico ainda mais triste pq eu queria a foto sem essa marca d’água :(,Negativo
Só quero q alguém me fique a fazer companhia enquanto vai tudo pro Richie :(,Negativo
o tamanhozinho da yeojin pra jinsoul :(( https://t.co/JWPtiOq9i3,Negativo
@rachelnmonteiro Vc me magoa :(,Negativo
Logo mais tem inglês e eu n quero irrr!! Mano eu quero o Alan d volta!!! Esse prof é legal mas mano nada se compara ao Alan :(((,Negativo
@o_marcel_ essas coisas não resolvem pra mim não amiga :(,Negativo
"@piikachoo Eu espero nunca mais ter que usar essa porcaria de novo, É UM SACO :((",Negativo
@bchartsnet tadinho do meu amor :(,Negativo
@SotnasGi Só se eu soubesse voltar cedo mas só sei voltar cedo no outro dia por causa dos after :(,Negativo
Cheguei à conclusão que ninguém é feliz fazendo dieta... quero um Big Mac :((((,Negativo
Boa tarde qual a sua orientação sexual? — pergunta muito dificil........ da ai umas alternativas pra eu escolher :( https://t.co/j74Flw4ldW,Negativo
:(((((( essa parte aqui é golpe baixo https://t.co/bVw6bNLcl5,Negativo
@rhayrhcp aaaaaa eu já vi o funky monks mas não lembro dessa cena :( você tem o vídeo dessa cena?,Negativo
ele é a coisa mais adorável :( https://t.co/0XNyYrK35R,Negativo
tudo pra mim :( https://t.co/BCeO1kYwPH,Negativo
@raifb12 chora não kkkkkkk :(,Negativo
